From,To,Date
RLL,LDA,11/2/2015 10:30
LDA,RLL,11/2/2015 10:31
RAA,RLL,11/24/2015 22:33
RAA,KVA,11/24/2015 22:33
RAA,LQA,11/24/2015 22:33
RAA,CQR,11/24/2015 22:33
RAA,VAS,11/24/2015 22:33
RLL,JIA,11/23/2015 11:32
RLL,RAK,11/23/2015 11:32
JIA,RLL,11/23/2015 11:10
JIA,RAK,11/23/2015 11:10
RLL,RAK,11/23/2015 10:45
JIA,RLL,11/23/2015 9:56
JIA,RAK,11/23/2015 9:56
KVA,LQA,11/20/2015 9:05
KVA,RAA,11/20/2015 9:05
KVA,RLL,11/20/2015 9:05
KVA,CQR,11/20/2015 9:05
KVA,VAS,11/20/2015 9:05
LQA,RAA,11/19/2015 19:10
LQA,RLL,11/19/2015 19:10
LQA,CQR,11/19/2015 19:10
LQA,VAS,11/19/2015 19:10
LQA,KVA,11/19/2015 19:10
RAA,RLL,11/19/2015 18:02
RAA,LQA,11/19/2015 18:02
RAA,CQR,11/19/2015 18:02
RAA,VAS,11/19/2015 18:02
RAA,KVA,11/19/2015 18:02
RLL,BIQ,11/18/2015 10:31
BIQ,RLL,11/18/2015 9:05
RLL,VAS,11/17/2015 17:57
VAS,RLL,11/17/2015 17:18
RLL,VAS,11/17/2015 17:15
VAS,RLL,11/6/2015 16:05
AIF,RLL,11/17/2015 15:01
RLL,AIF,11/17/2015 16:24
LDA,RLL,10/29/2015 13:32
RLL,LDA,10/29/2015 13:27
LDA,RLL,10/29/2015 13:20
RLL,LDA,10/28/2015 18:27
LDA,RLL,10/28/2015 15:07
LDA,RLL,10/28/2015 14:48
RLL,LDA,10/28/2015 8:28
LDA,RLL,10/28/2015 8:12
RLL,LDA,10/28/2015 7:04
EKZ,RLL,10/28/2015 6:52
RLL,EKZ,10/28/2015 5:54
EKZ,RLL,10/27/2015 9:59
EKZ,CVO,10/27/2015 9:59
EKZ,AIF,10/27/2015 9:59
EKZ,KBB,10/27/2015 9:59
RLL,RAA,10/27/2015 9:03
RLL,LQA,10/27/2015 9:03
RLL,KVA,10/27/2015 9:03
RLL,CQR,10/27/2015 9:03
RLL,VAS,10/27/2015 9:03
BRE,RLL,10/27/2015 8:57
RLL,BRE,10/27/2015 8:56
BRE,RLL,10/27/2015 8:55
BRE,QCJ,10/27/2015 8:55
BRE,EKZ,10/27/2015 8:55
BRE,ORO,10/27/2015 8:55
BRE,BKK,10/27/2015 8:55
BRE,QCJ,10/26/2015 17:54
BRE,EKZ,10/27/2015 17:54
BRE,RLL,10/28/2015 17:54
BRE,BKK,10/29/2015 17:54
BRE,ORO,10/30/2015 17:54
QCJ,BRE,10/26/2015 15:10
QCJ,EKZ,10/27/2015 15:10
QCJ,RLL,10/28/2015 15:10
QCJ,BKK,10/29/2015 15:10
QCJ,ORO,10/30/2015 15:10
BRE,QCJ,10/26/2015 14:59
BRE,EKZ,10/26/2015 14:59
BRE,RLL,10/26/2015 14:59
BRE,ORO,10/26/2015 14:59
QCJ,BRE,10/26/2015 13:48
QCJ,EKZ,10/26/2015 13:48
QCJ,RLL,10/26/2015 13:48
QCJ,BKK,10/26/2015 13:48
QCJ,ORO,10/26/2015 13:48
QCJ,BRE,10/26/2015 11:24
QCJ,EKZ,10/26/2015 11:24
QCJ,RLL,10/26/2015 11:24
QCJ,BKK,10/26/2015 11:24
QCJ,ORO,10/26/2015 11:24
BRE,QCJ,10/26/2015 10:32
BRE,EKZ,10/26/2015 10:32
BRE,RLL,10/26/2015 10:32
BRE,BKK,10/26/2015 10:32
BRE,ORO,10/26/2015 10:32
QCJ,BRE,10/26/2015 10:20
QCJ,EKZ,10/26/2015 10:20
QCJ,RLL,10/26/2015 10:20
QCJ,BKK,10/26/2015 10:20
QCJ,ORO,10/26/2015 10:20
BRE,QCJ,10/26/2015 9:47
BRE,EKZ,10/26/2015 9:47
BRE,RLL,10/26/2015 9:47
BRE,BKK,10/26/2015 9:47
BRE,BRE,10/26/2015 9:47
BRE,RLL,10/14/2015 12:44
